	index	"_height(inches)"""	_weight(pounds)	bmi
0	1	65.78	112.99	0.026112729524629535
1	2	71.52	136.49	0.026683686045173145
2	3	69.4	153.03	0.031772957170975585
3	4	68.22	142.34	0.03058465115491545
4	5	67.79	144.3	0.03140039152784796
5	6	68.7	123.3	0.02612459716633931
6	7	69.8	141.49	0.029041222978464874
7	8	70.01	136.46	0.027841024445239636
8	9	67.9	112.37	0.024373103476697296
9	10	66.78	120.67	0.027058672314567482
10	11	66.49	127.45	0.02882884040360739
11	12	67.62	114.14	0.024962468816597014
12	13	68.3	125.61	0.02692667994314979
13	14	67.12	122.46	0.027182560258892683
14	15	68.28	116.09	0.024900483861723787
15	16	71.09	140.0	0.02770199249153323
16	17	66.46	129.5	0.029318996019770834
17	18	68.65	142.97	0.03033638546751972
18	19	71.23	137.9	0.027179306893773986
19	20	67.13	124.04	0.027525071969830537
20	21	67.83	141.28	0.030706976180293423
21	22	68.88	143.54	0.03025426906832533
22	23	63.48	97.9	0.024294549801891475
23	24	68.42	129.5	0.027663277206715645
24	25	67.63	141.85	0.031013484601886885
25	26	67.21	129.72	0.028717005357386256
26	27	70.84	142.42	0.028380097059055146
27	28	67.49	131.55	0.028880984678456515
28	29	66.53	108.33	0.024474492565463395
29	30	65.44	113.89	0.026594939801890236
30	31	69.52	103.3	0.021373753411524168
31	32	65.81	120.75	0.02788067974182421
32	33	67.82	125.79	0.027348313283701266
33	34	70.6	136.22	0.027329486634191758
34	35	71.8	140.1	0.02717623233835864
35	36	69.21	128.75	0.026878779169399177
36	37	66.8	141.8	0.031777761841586295
37	38	67.66	121.23	0.026481715667415695
38	39	67.81	131.35	0.028565549868566936
39	40	64.05	106.71	0.026011587112673613
40	41	68.57	124.36	0.02644919231597793
41	42	65.18	124.86	0.029389663820471753
42	43	69.66	139.67	0.02878300896137253
43	44	67.97	137.37	0.02973427532060127
44	45	65.98	106.45	0.024452374767777094
45	46	68.67	128.76	0.027305295019652873
46	47	66.88	145.68	0.032569223461001356
47	48	67.7	116.82	0.025488240979732898
48	49	69.82	143.62	0.029461525692657663
49	50	69.09	134.93	0.028266896907905664
50	51	69.91	147.02	0.03008138403666353
51	52	67.33	126.33	0.02786693901693301
52	53	70.27	125.48	0.025411751687654825
53	54	69.1	115.71	0.024233424994921267
54	55	65.38	123.49	0.02888962856485945
55	56	70.18	147.89	0.03002700948690258
56	57	70.41	155.9	0.03144687008938919
57	58	66.54	128.07	0.028925562717043347
58	59	66.36	119.37	0.027107061379270506
59	60	67.54	133.81	0.029333673794815888
60	61	66.5	128.73	0.029109616145627223
61	62	69.0	137.55	0.028890989287964717
62	63	68.3	129.76	0.027816304350156168
63	64	67.01	128.82	0.028688250139449343
64	65	70.81	135.32	0.026988130427978253
65	66	68.22	109.61	0.023551943326473812
66	67	69.06	142.47	0.029872411026259788
67	68	67.73	132.75	0.028938257616936334
68	69	67.22	103.53	0.022912326942550586
69	70	67.37	124.73	0.02748133508833741
70	71	65.27	129.31	0.030353228151843326
71	72	70.84	134.02	0.026706225304413505
72	73	69.92	140.4	0.02871866638040729
73	74	64.29	102.84	0.024881423107075692
74	75	68.25	128.52	0.027590870667793747
75	76	66.36	120.3	0.02731824984440179
76	77	68.36	138.6	0.02965917880110837
77	78	65.48	132.96	0.031010135575118596
78	79	69.72	115.62	0.02378582438927088
79	80	67.73	122.52	0.026708213357642483
80	81	68.64	134.63	0.0285750695497199
81	82	66.78	121.9	0.027334483758562823
82	83	70.05	155.38	0.03166495227993057
83	84	66.28	128.94	0.02935098404785171
84	85	69.2	129.1	0.026959637809482438
85	86	69.13	139.47	0.02918419289364171
86	87	67.36	140.89	0.031051030094616933
87	88	70.09	131.59	0.026786179015582372
88	89	70.18	121.12	0.02459173297081372
89	90	68.23	131.51	0.028249322406137697
90	91	68.13	136.55	0.029418120773891988
91	92	70.24	141.49	0.028678520374012178
92	93	71.49	140.61	0.02751221863590934
93	94	69.2	112.14	0.023417922416385444
94	95	70.06	133.46	0.027190103112140165
95	96	70.56	131.8	0.026472701703508315
96	97	66.29	120.03	0.02731453226645466
97	98	63.43	123.1	0.030596280242937944
98	99	66.77	128.14	0.028742329724407177
99	100	68.89	115.48	0.024332929940778986
100	101	64.87	102.09	0.024260257598832387
101	102	67.09	130.35	0.028959792898934363
102	103	68.35	134.18	0.028721740214663873
103	104	65.61	98.64	0.02291463733091308
104	105	67.76	114.56	0.024950899695989313
105	106	68.02	123.49	0.026690612209892783
106	107	67.66	123.05	0.026879279987424738
107	108	66.31	126.48	0.028764961765775653
108	109	69.44	128.42	0.026632580061160777
109	110	63.84	127.19	0.031208091500681524
110	111	67.72	122.06	0.026615796464298812
111	112	70.05	127.61	0.026005692884811044
112	113	70.19	131.64	0.026720057525661374
113	114	65.95	111.9	0.02572767178940096
114	115	70.01	122.04	0.024899007938568408
115	116	68.61	128.55	0.02730846204796131
116	117	68.81	132.68	0.02802220766293331
117	118	69.76	136.06	0.027958735323205114
118	119	65.46	115.94	0.027057102949266235
119	120	68.83	136.9	0.028896677365473248
120	121	65.8	119.88	0.02768821426261768
121	122	67.21	109.01	0.02413229073395526
122	123	69.42	128.27	0.026616802130771812
123	124	68.94	135.29	0.028465783282663443
124	125	67.94	106.86	0.023150697740278725
125	126	65.63	123.29	0.028623520240733818
126	127	66.5	109.51	0.024763412290123805
